,Date,Player1,Player2,Sets_P1,Sets_P2,Total_P1,Total_P2,Total_Score,Total_Allowed_P1,Total_Allowed_P2,Over_74,Odds_P1,Odds_P2,Player1_Name,Player2_Name,pythagorean_P1,pythagorean_P2,D_Sets,D_Odds,D_Total,D_Total_Allowed
110636,1758481800,707970,311807,1.896998636731709,2.0653111048003483,38.102300889077945,39.373903958337166,0,39.84899757470855,40.09201972634927,False,0.0,0.0,Blazej Warpas,Michal Lysakowski,0.5022025521233776,0.49621557799896854,-0.168,0.0,-1.272,-0.243
110637,1758481800,741520,767041,1.9634889610904693,1.8099606257743834,37.86944283579823,37.96698427638833,0,37.46091171071047,39.89925580945571,False,1.825,1.86,Fahimi Nader,Narendra Modi,0.5074363582141349,0.4914594805818191,0.154,-0.035,-0.098,-2.438
110638,1758482100,1025714,973938,2.110214539944055,1.743999310608712,35.731436666394266,35.24512280485058,0,33.68667334042806,37.40095857040736,False,1.94,1.74,Denys Goncharov,Bahrillo Mahmudov,0.5279224198020488,0.49046713812909704,0.366,0.2,0.486,-3.714
110641,1758483600,741520,973938,1.9634889610904693,1.743999310608712,37.86944283579823,35.24512280485058,0,37.46091171071047,37.40095857040736,False,2.43,1.47,Fahimi Nader,Bahrillo Mahmudov,0.5074363582141349,0.49046713812909704,0.219,0.96,2.624,0.06
110642,1758483600,747620,981770,1.9968581529437688,2.1847045799077365,36.7890341072713,40.00606657649034,0,36.77337813970206,39.39925490406258,False,0.0,0.0,Marcin Stepien,Bartek Sulkowski,0.5124090581617033,0.5135371528927819,-0.188,0.0,-3.217,-2.626
110643,1758483900,767041,1025714,1.8099606257743834,2.110214539944055,37.96698427638833,35.731436666394266,0,39.89925580945571,33.68667334042806,False,1.98,1.71,Narendra Modi,Denys Goncharov,0.4914594805818191,0.5279224198020488,-0.3,0.27,2.236,6.213
110646,1758485400,741520,1025714,1.9634889610904693,2.110214539944055,37.86944283579823,35.731436666394266,0,37.46091171071047,33.68667334042806,False,1.91,1.76,Fahimi Nader,Denys Goncharov,0.5074363582141349,0.5279224198020488,-0.147,0.15,2.138,3.774
110647,1758485700,973938,767041,1.743999310608712,1.8099606257743834,35.24512280485058,37.96698427638833,0,37.40095857040736,39.89925580945571,False,1.48,2.42,Bahrillo Mahmudov,Narendra Modi,0.49046713812909704,0.4914594805818191,-0.066,-0.94,-2.722,-2.498
110648,1758487800,755083,920400,1.8407057538379008,2.1619445552930645,34.87421304683541,38.54232265601679,0,37.73083419175207,36.62079932497183,False,2.157,1.594,Pavel Cibik,Dominik Lafek,0.48687767030210055,0.5098949690760648,-0.321,0.563,-3.668,1.11
110649,1758488100,757785,560213,2.0925843639967785,2.22448852332351,38.3949097912302,36.62011874334661,0,38.257095002983725,33.83303371700013,False,1.482,2.408,Adam Kosacky,Michal Brozek,0.5050161611947952,0.5149859150653873,-0.132,-0.926,1.775,4.424
