,Date,Player1,Player2,Sets_P1,Sets_P2,G1_P1,G1_P2,G2_P1,G2_P2,G3_P1,G3_P2,G4_P1,G4_P2,G5_P1,G5_P2,Total_P1,Total_P2,Total_Score,Total_Allowed_P1,Total_Allowed_P2,Over_74,G5,G4,Odds_P1,Odds_P2,pythagorean_P1,pythagorean_P2,D_Sets,D_G1,D_G2,D_G3,D_G4,D_G5,D_Odds,D_Total,D_Total_Allowed
399,1759404600,816731,747620,2.1494638679669644,2.1661488593666913,10.051122399648472,9.868942298467507,10.057575388362977,10.105369979564312,9.319291850125046,9.858832200350635,6.365402397701456,5.4133440336848455,1.947173609744978,2.3669557104285706,48,47,95,34.821293892702826,35.60783048055956,1,1,0,2.03,1.7,0.5268576376693959,0.5123881376657042,-0.017,0.182,-0.048,-0.54,0.952,-0.42,0.33,1,-0.787
398,1759404900,900787,697468,2.075788441577112,1.7171994218453823,9.536026509036917,8.977974235945506,9.666155524967136,9.523065362007703,10.104915187374939,9.820818553804596,7.534175657761668,6.8875065504062,2.1792831866033406,2.0096558720206277,49,44,93,37.92079765995598,39.94382677746746,1,1,0,0.0,0.0,0.5176057721392303,0.4730558445482405,0.359,0.558,0.143,0.284,0.647,0.17,0.0,5,-2.023
397,1759405200,1084329,512104,2.1042002628702052,2.0023681485922262,9.204521162500923,9.663188571638358,9.633661084044464,9.043993222548691,9.750205624913496,9.560385951219581,7.852716027808511,7.0415445476530065,3.2002091860660897,4.6159844028670705,19,35,54,39.868035124696895,40.363671928748985,0,0,0,0.0,0.0,0.4979431262555903,0.4915357391215644,0.102,-0.459,0.59,0.19,0.811,-1.416,0.0,-16,-0.496
396,1759405200,1084329,512104,2.1042002628702052,2.0023681485922262,9.204521162500923,9.663188571638358,9.633661084044464,9.043993222548691,9.750205624913496,9.560385951219581,7.852716027808511,7.0415445476530065,3.2002091860660897,4.6159844028670705,19,35,54,39.868035124696895,40.363671928748985,0,0,0,1.7,2.03,0.4979431262555903,0.4915357391215644,0.102,-0.459,0.59,0.19,0.811,-1.416,-0.33,-16,-0.496
395,1759405800,807871,771985,1.9748778974229473,2.0140780563319107,9.199438809717714,9.540861826525504,9.572128288809013,9.3411944753467,9.04111566659806,9.816965495630503,6.738730664165608,5.569207519384177,2.962723503554307,2.4096536995995486,40,25,65,36.31170821688129,35.99659357714774,0,0,1,1.606,2.135,0.508518738074336,0.5015294297937988,-0.039,-0.341,0.231,-0.776,1.17,0.553,-0.529,15,0.315
394,1759406100,383509,920854,2.2833349473031226,2.1392009645590946,9.74558658304757,9.960760336750296,8.692806217585721,9.53684393664692,9.961812439932432,9.988749466835124,6.588826187016337,6.408616861851201,2.669891188299926,3.2488756042821674,41,37,78,35.59883015290404,38.42764445941416,1,0,1,1.285,3.22,0.4775365896360392,0.5063663047396333,0.144,-0.215,-0.844,-0.027,0.18,-0.579,-1.935,4,-2.829
393,1759406400,311807,748305,1.736394900822691,1.8050044938646927,9.412373417736418,9.531887909412841,9.115994027865193,9.486447524875299,9.10764470229678,10.146903348668053,6.185789466802972,6.728128731903855,3.1773323637109856,2.564160230605137,48,49,97,39.78798902713693,38.870301068128796,1,1,0,1.935,1.75,0.4950995559659264,0.5005872373644809,-0.069,-0.12,-0.37,-1.039,-0.542,0.613,0.185,-1,0.918
392,1759406700,1025614,1019089,2.049606222147562,1.741917571381449,9.665421297608697,9.43354685553708,9.555591276227391,9.63020408255227,9.21700699929081,10.285401089597197,7.999102871204941,7.606788506230238,2.9440086610468845,2.4778916577186028,35,20,55,38.9983683498934,40.35296275605955,0,0,0,1.615,2.14,0.5254715329426591,0.48353469750633987,0.308,0.232,-0.075,-1.068,0.392,0.466,-0.525,15,-1.355
391,1759407000,677781,464706,2.129782729055176,2.103247950972166,9.330194275673243,9.121871824708212,9.852511193046208,9.756828669950712,10.368768245880563,9.221614179453548,5.5977999801269025,7.563025635390214,2.907049581259727,3.996485018921939,41,49,90,36.712512080078916,40.63165061900089,1,1,0,1.375,2.8,0.5245939151137596,0.479797336895935,0.027,0.208,0.096,1.147,-1.965,-1.089,-1.425,-8,-3.919
390,1759407600,855787,771985,1.8336949664688131,2.0527416758179657,9.006256367537139,9.284357349273721,9.281900195695785,9.563108496995088,9.094726303618604,9.863359022227185,6.149019579489491,5.782179849827555,2.184283703551333,2.3151574422306735,22,32,54,37.14737027728028,35.99672716240549,0,0,0,1.833,1.818,0.5083216855315439,0.5016578447023885,-0.219,-0.278,-0.281,-0.769,0.367,-0.131,0.015,-10,1.151
