,Date,Player1,Player2,Sets_P1,Sets_P2,Total_P1,Total_P2,Total_Score,Total_Allowed_P1,Total_Allowed_P2,Over_74,pythagorean_P1,pythagorean_P2,D_Sets,D_Total,D_Total_Allowed
37208,1731654000,747620,968152,2.2477491818640947,2.062771489331335,36.722575749120345,38.29128864643615,70,33.06371422779609,37.82631102269304,False,0.5517744791337618,0.49667880014084625,0.185,-1.569,-4.763
37203,1731655800,817602,748305,1.5179692472838358,1.3376558194590038,36.08610298580971,32.80501708129856,97,39.91805950501771,37.167925950128556,True,0.4585572044924584,0.4561344710122626,0.18,3.281,2.75
37196,1731657900,714093,311807,1.9931132052991454,2.1718171474318924,37.42427940535948,37.585244989290395,53,37.22633054638856,36.97573066560047,False,0.49374381875742873,0.5103855446166885,-0.179,-0.161,0.251
37185,1731661200,817602,968152,1.4990231646937693,1.9535486249248584,35.900065440654195,37.22152796427598,73,39.99421193447637,37.844370739559984,False,0.45720772270649784,0.4918772768259636,-0.455,-1.321,2.15
37179,1731663000,747620,748305,2.3007668908894336,1.3997628312476635,37.19965292069704,33.447440605463115,78,32.84426349283188,37.42317977092171,True,0.5549316854428313,0.45824780625780687,0.901,3.752,-4.579
37173,1731665100,811039,714093,1.9541586124808263,1.883745155722219,34.21756996387427,36.69227193127467,52,35.06698148391231,37.16917422687231,False,0.4835542435885261,0.4904854146347618,0.07,-2.475,-2.102
37169,1731666600,817602,747620,1.5537179922339603,2.3257421893543633,36.450299326457696,37.3711123374191,93,40.21305977726785,32.74267172218941,True,0.4588522704319655,0.5562104876507992,-0.772,-0.921,7.47
37163,1731668700,815950,311807,2.0968818842871433,2.2029059998653375,36.362255525361775,38.01373929219882,53,34.990035072032114,37.05171896990736,False,0.5174518297697697,0.5121162675578848,-0.106,-1.651,-2.062
37154,1731672300,815950,714093,2.0934596397535103,1.8511601147892782,36.384783137807005,36.55613219547288,88,35.378949806375545,37.347294191138054,True,0.5157358471402824,0.4889455601498475,0.242,-0.171,-1.968
37149,1731674100,697468,311807,1.8282516671602134,2.23268631073148,37.022428733143954,37.826420463179595,57,37.94192207395137,36.414647944858686,False,0.49146402282377133,0.5144545549936469,-0.404,-0.804,1.527
37147,1731675600,968152,748305,1.9556294537319316,1.4064572708895642,36.99646454922002,33.95448447374148,55,37.20377723379374,38.11591635496643,False,0.4938016818109917,0.45727980188847556,0.549,3.042,-0.912
37145,1731675900,811039,815950,2.031025079837607,2.125401131580068,34.20035421535819,36.26552201312687,90,34.030647101323844,34.83708027570422,True,0.4893785394718308,0.5176775433257799,-0.094,-2.065,-0.806
37137,1731679500,714093,697468,1.7831826629142622,1.8724546597182954,35.91144396894147,37.474270206892506,55,37.187654849676626,38.32135264897616,False,0.48646736406122193,0.4918343384040952,-0.089,-1.563,-1.134
37134,1731681000,747620,817602,2.3373340581568045,1.6566539760114312,37.941926212273664,36.84884587173401,55,33.25550736704328,40.27737203698547,False,0.5562854980934318,0.46043607267519404,0.681,1.093,-7.022
37129,1731683100,811039,714093,2.0670622097516,1.827690945763761,34.89953152467869,36.24388172290435,74,34.43860811998032,37.400256605162035,False,0.4912397737545412,0.48706851707963683,0.239,-1.344,-2.962
37124,1731684900,815950,311807,2.1209934742566476,2.0700534491284226,36.50222857904251,36.6760237678947,76,35.194291307101665,36.165918885173895,True,0.5170922134133547,0.5100417357923459,0.051,-0.174,-0.972
37085,1731699300,771955,939384,2.228137652726941,1.917372966867134,38.90722708649141,37.917921885962215,79,35.66638000979624,37.68769026329776,True,0.5344411227573518,0.5076988646022271,0.311,0.989,-2.021
37057,1731711600,962341,833546,1.7271064958076259,1.9873754026429988,35.379604935988525,35.27606476103159,85,36.49129624129838,34.11077136585087,True,0.49010455662764035,0.521327879945578,-0.26,0.104,2.381
37035,1731742200,962341,747673,1.7748891783307144,1.9211132532253568,35.965973218779354,37.58201655447471,80,36.547930918501145,37.94058066204733,True,0.49292610972983264,0.5072313434985347,-0.146,-1.616,-1.393
36801,1731855600,311807,748305,2.104342006445417,1.5215733584487228,36.577354662384174,34.31174404886675,91,35.60672816773772,37.48448045175265,True,0.5123208634149656,0.46206009708136114,0.583,2.266,-1.878
36798,1731857400,707970,820666,2.176585092641855,2.0697987882146385,39.23075428046093,36.58687036005924,77,38.11864618105629,37.310569997133676,True,0.5081818360847907,0.49040237465259917,0.107,2.644,0.808
36794,1731859200,311807,820666,2.1372319480916913,2.1024939332402015,36.776482554957106,36.70683662881385,91,35.54772663360459,37.22935700773861,True,0.5135840735180481,0.49130112501571316,0.035,0.07,-1.682
36790,1731861000,714093,748305,1.8704092876042422,1.5756506871725182,36.16211582154732,34.62953977839508,92,36.80263964963373,37.57649217130539,True,0.48955010245602293,0.46325326752878354,0.295,1.533,-0.774
36785,1731863100,962341,747673,1.8305212203172143,1.9685010822863906,36.458525904605054,38.929307224219535,62,37.31034385789288,39.11945088396458,False,0.49103188088163935,0.5070315398847333,-0.138,-2.471,-1.809
36778,1731866400,311807,714093,2.1687899505276316,1.880818839211511,36.96754639406222,36.370027139526115,67,36.03977878450036,37.31964101117274,False,0.5120986933779923,0.4881365733266429,0.288,0.598,-1.28
36772,1731870000,707970,748305,2.2351898620373247,1.5911137589108388,39.743975323398296,35.15319199274354,94,37.79051716752089,37.737682532223765,True,0.5124190226689247,0.4651910807535996,0.644,4.591,0.053
36767,1731871800,311807,917579,2.1990788192404453,2.209957905521448,37.406002844143174,38.03496551058266,85,36.256966194602285,36.46977083525398,True,0.5131117838308912,0.5231141383435344,-0.011,-0.629,-0.213
36762,1731873600,707970,714093,2.154595189644617,1.8490589842706553,38.9238914140939,36.35668499951689,63,37.61778456512975,37.596573198042414,False,0.509569594937074,0.4867711798456294,0.306,2.567,0.021
36756,1731875400,820666,748305,2.061600960375957,1.6059591399491748,36.800426632672426,35.619619426168676,95,37.83643582545939,37.96504770045376,True,0.4891263264239565,0.46653112262003704,0.456,1.181,-0.129
36750,1731877200,311807,707970,2.155544016212576,2.149039091196858,37.10080716209177,39.17820434595616,95,36.320250302511866,37.990917850806916,True,0.5113929563150491,0.5090686856658165,0.007,-2.077,-1.671
36744,1731879000,917579,748305,2.2397614254788194,1.656394871948377,38.25999026014249,36.06753567781077,61,36.452049216922845,38.255748434140656,False,0.5243141625368148,0.467485585989144,0.583,2.192,-1.804
36736,1731883200,748305,707970,1.7048415014538372,2.072046099908471,36.497786847618755,38.777726107401314,104,38.57104160106094,37.883763116872686,True,0.46823998810851836,0.5078030395726245,-0.367,-2.28,0.687
36733,1731885000,917579,714093,2.2682997425717324,1.8904234122690673,38.475462381082465,36.41574518078353,57,36.62277307377549,37.287615286017555,False,0.5244599826692896,0.4884621192729156,0.378,2.06,-0.665
36723,1731909600,707970,714093,2.105190877114404,1.930175886248211,39.17856473513644,36.365023694693704,73,38.137941784598134,36.95487062551536,False,0.5084867632728203,0.48976910433913523,0.175,2.814,1.183
36722,1731911400,783710,820666,1.6927608274010688,2.0245413591257235,34.29768134047007,36.77248440866916,97,35.48842070386597,38.05160069353544,True,0.4930274127285544,0.4880758772852538,-0.332,-2.475,-2.563
36721,1731913200,811039,714093,2.064579036378344,1.9683880020616586,35.16244702240638,36.244831343928965,59,34.94075809901452,36.49214688398893,False,0.4902137122930695,0.4913685260041413,0.096,-1.082,-1.551
36720,1731913500,917579,747620,2.183553562748569,2.3608035541227763,38.0093653488068,37.76689908324923,47,36.562144482173906,32.9985406359506,False,0.5223920873784133,0.5568231078563488,-0.177,0.242,3.564
36717,1731915000,707970,820666,2.101444636928615,2.0236864551571108,39.56395647983173,37.12876229952615,58,38.70284894713884,38.39815550351439,False,0.5076913432702866,0.48811082925649596,0.078,2.435,0.305
36716,1731915300,968152,815950,1.8538992510080299,2.151816413796114,36.33018905304373,36.905405464500866,100,37.116652743136335,35.432937939886365,True,0.49129225590440073,0.5177647708520742,-0.298,-0.575,1.684
36712,1731916800,816731,811039,1.9565561479968265,2.099069443699709,38.30247166733477,35.3408150290308,74,35.583501861023244,34.906070903315744,False,0.5386079983984017,0.4915483627217175,-0.143,2.962,0.677
36711,1731917100,917579,815950,2.1023450590220274,2.111519045275413,37.48834327838734,36.80375715205914,71,36.42966482681296,35.66269271396754,False,0.5203938283173718,0.5163077483203774,-0.009,0.685,0.767
36707,1731918600,783710,816731,1.7405765258405121,1.9219484037727455,34.25021524478763,37.92973316674009,102,35.14135685162489,35.81564769676224,True,0.49445238631412264,0.5356656348533736,-0.181,-3.68,-0.674
36702,1731920400,707970,811039,2.062328652867373,2.132153001974519,39.22430838796694,35.291578235097596,64,38.85545515761636,34.54230471544209,False,0.5055376243404683,0.4934007779133545,-0.07,3.933,4.313
