,Date,Player1,Player2,Sets_P1,Sets_P2,G1_P1,G1_P2,G2_P1,G2_P2,G3_P1,G3_P2,G4_P1,G4_P2,G5_P1,G5_P2,Total_P1,Total_P2,Total_Score,Total_Allowed_P1,Total_Allowed_P2,Over_74,G5,G4,Odds_P1,Odds_P2,pythagorean_P1,pythagorean_P2,D_Sets,D_G1,D_G2,D_G3,D_G4,D_G5,D_Odds,D_Total,D_Total_Allowed
4005,1757619600,685761,696676,1.7694118016633684,2.07223922827434,8.965481191326857,9.631123627850608,9.084765406853666,9.494497581047385,8.690317130088408,9.337442385733056,5.93145840350925,5.368674278661636,2.7632390105101523,3.048967390418886,33,41,74,39.303373324982964,35.61875616447875,0,0,1,2.725,1.377,0.4806188624305971,0.5171605056156219,-0.303,-0.666,-0.41,-0.647,0.563,-0.286,1.348,-8,3.685
4002,1757620200,384003,380282,2.1251651707610404,2.007066948936145,9.884941750651087,9.605659161202777,9.36593870813867,9.237643604582065,9.446254250195219,9.905668043734181,6.312190106728678,6.975789354370503,2.2649922974367964,3.7404609929631008,42,38,80,33.228728347338965,41.19680096829632,1,0,1,1.826,1.826,0.5030566487899598,0.4905842691939169,0.118,0.279,0.128,-0.459,-0.664,-1.475,0.0,4,-7.968
4001,1757620500,853196,380029,1.9578451244372914,2.5206050328082457,9.738244376513274,10.275987187257545,9.53952293754489,10.346798612063726,8.948667766851347,9.935341097510001,6.5064626484709684,6.135764585431657,3.3499643887599375,2.5200401011021163,33,24,57,38.07158896172508,34.36269386348338,0,0,0,0.0,0.0,0.49605108576975804,0.533526566335765,-0.563,-0.538,-0.807,-0.987,0.371,0.83,0.0,9,3.709
4000,1757620800,273429,832727,2.1721079462042936,1.8466899095442972,9.604294156670385,9.052198306788886,9.67247290216746,9.431225815142284,10.47087341745622,9.321491302876606,7.618638510048041,6.103750057874753,2.3744992518622006,2.926553900544135,37,28,65,37.500906797169925,37.16955360900782,0,0,0,1.65,2.1,0.5144278660722581,0.5090299196358469,0.325,0.552,0.241,1.149,1.515,-0.552,-0.45,9,0.331
3999,1757621400,920400,684030,2.311374440400708,1.8145225512959424,10.320532829999106,9.507067384954805,10.005254794405005,9.243413501891252,9.15945477773421,8.592925892803262,6.390343657188883,6.202731462930726,3.999368909070598,3.075347840054135,42,34,76,38.10653253080514,37.84161839909087,1,0,1,1.712,1.968,0.5092943637903251,0.4912388142598168,0.497,0.813,0.762,0.567,0.188,0.924,-0.256,8,0.265
3998,1757622000,834482,380282,2.2607446684260792,2.0460055462830558,9.44649748356755,9.660339259149065,9.838539361696927,9.306755702310515,9.380996363087796,9.870151607608758,6.391282065615186,6.859091593796507,2.929070930040633,4.025149135850818,56,52,108,34.7344805945584,40.99300460943837,1,1,0,1.423,2.586,0.515409573500103,0.4909598051789,0.215,-0.214,0.532,-0.489,-0.468,-1.096,-1.163,4,-6.259
3997,1757622300,514114,629518,1.9820063373131003,2.0644224714232773,9.526175165066647,9.384413281785656,8.984758238332757,9.220439548942775,9.126393970317986,9.299309800317896,5.929067062406882,6.800574417844005,2.681994347103469,3.0998012666942163,51,52,103,36.07668871454724,37.546399927514535,1,1,0,1.712,1.968,0.4960234021495018,0.4945451281309804,-0.082,0.142,-0.236,-0.173,-0.872,-0.418,-0.256,-1,-1.47
3996,1757622600,776317,833546,1.8304573625939506,1.9759678476631086,9.179643895000202,9.522463784473057,9.454209523848744,8.967318298070115,9.0278618965286,9.672128804913891,6.292229786426367,6.555627498257751,2.0217598484212953,2.78949981311292,33,24,57,37.594274428324276,35.78098886818603,0,0,0,0.0,0.0,0.47323455363101374,0.5144123701086769,-0.146,-0.343,0.487,-0.644,-0.263,-0.768,0.0,9,1.813
3995,1757623200,685761,684030,1.7392384095310507,1.8610118647824407,8.849186345506352,9.369535325398825,9.159873592456554,9.312299249541704,8.506380806672091,8.726536647199605,5.8557139820299415,6.3908596480282425,2.654875330567641,2.9547459593750927,24,34,58,39.40912472354984,37.8478294425006,0,0,0,2.43,1.475,0.4799548476720472,0.49131649951810075,-0.122,-0.52,-0.152,-0.22,-0.535,-0.3,0.955,-10,1.561
3994,1757623800,675240,384003,2.013739474300226,2.0418252852109355,9.15662543681537,9.732590956782138,9.20661773286875,9.155509549992336,10.412876351077434,9.389538346252346,6.1097941699991285,6.064653017234177,2.680328251942768,2.1761689902240904,19,33,52,37.17660979610973,33.21975860016281,0,0,0,1.78,1.882,0.5016727561346334,0.5025247032760195,-0.028,-0.576,0.051,1.023,0.045,0.504,-0.102,-14,3.957
3993,1757624100,853196,629518,1.9202823741872148,1.9834647274458854,9.473998117716848,9.251691192303852,9.557580955956846,9.172579174474425,9.029112588657965,9.130709415991687,6.604248938117478,6.533885224987349,3.2185925495436924,2.9782404327061953,33,16,49,38.225645101852166,37.36810973427865,0,0,0,1.56,2.213,0.4957162572444913,0.4943257025606365,-0.063,0.222,0.385,-0.102,0.07,0.24,-0.653,17,0.858
3992,1757624400,770453,677426,2.0392949329785854,2.0732541052425275,9.422508090267003,8.900737028103011,9.287903642212315,9.875980733587612,9.53457646493464,9.554263885443733,8.162450136961084,5.68464030147619,2.151260980321462,2.452079254957512,39,26,65,38.13224318657136,34.84721848935306,0,0,1,2.13,1.62,0.47843653699855704,0.5242184310099323,-0.034,0.522,-0.588,-0.02,2.478,-0.301,0.51,13,3.285
