Date,Player1,Player2,Sets_P1,Sets_P2,P1_G1,P2_G1,P1_G2,P2_G2,P1_G3,P2_G3,P1_G4,P2_G4,P1_G5,P2_G5,HomeWinner
1751297400,1107118,1050239,1,3,10,12,4,11,11,5,7,11,0,0,0
1751297100,580890,604272,3,0,15,13,11,6,11,9,0,0,0,0,1
1751296800,383207,504147,3,2,12,10,1,11,8,11,11,8,11,7,1
1751296200,964747,691184,3,2,13,11,10,12,8,11,11,9,11,4,1
1751295900,832727,273429,0,3,5,11,7,11,8,11,0,0,0,0,0
1751295900,888099,548705,2,3,9,11,5,11,11,8,11,7,6,11,0
1751295600,1054130,700866,3,2,9,11,11,5,9,11,11,8,11,5,1
1751295000,909397,504147,3,0,11,8,13,11,11,9,0,0,0,0,1
1751294700,968152,1097691,2,3,13,11,4,11,9,11,19,17,11,13,0
1751294700,1010717,695309,3,0,11,9,11,3,11,4,0,0,0,0,1
1751294400,748210,909920,1,3,9,11,12,10,2,11,8,11,0,0,0
1751293800,996462,700866,2,3,11,8,8,11,11,8,6,11,7,11,0
1751293200,383207,1033391,3,2,11,8,4,11,11,9,6,11,13,11,1
1751292900,487919,383351,3,1,11,8,11,7,4,11,11,5,0,0,1
1751292900,748305,1019089,1,3,8,11,6,11,11,6,4,11,0,0,0
1751292000,1054130,1050239,3,1,11,5,11,6,3,11,11,7,0,0,1
1751291700,852763,920854,2,3,11,13,14,12,9,11,11,6,2,11,0
1751291100,898479,804365,1,3,5,11,11,7,8,11,3,11,0,0,0
1751290800,707970,816731,3,1,11,8,11,5,7,11,11,3,0,0,1
1751289900,383351,695309,2,3,9,11,11,7,9,11,11,5,8,11,0
1751289900,580890,964166,3,2,8,11,8,11,11,8,12,10,11,5,1
1751289000,311807,981770,1,3,11,13,11,5,4,11,6,11,0,0,0
1751288700,1019089,1097691,1,3,8,11,13,11,8,11,9,11,0,0,0
1751288100,487919,1010717,0,3,10,12,7,11,3,11,0,0,0,0,0
1751287800,920854,852763,1,3,11,9,11,13,12,14,5,11,0,0,0
1751287200,1016369,820666,3,0,11,6,11,9,11,9,0,0,0,0,1
1751286900,968152,804365,2,3,11,6,3,11,11,7,2,11,9,11,0
1751286300,695309,1010717,1,3,9,11,12,10,9,11,10,12,0,0,0
1751286000,964166,580890,1,3,11,5,12,14,10,12,6,11,0,0,0
1751285100,748305,898479,3,1,11,7,11,7,7,11,11,7,0,0,1
