,Date,Player1,Player2,Sets_P1,Sets_P2,Total_P1,Total_P2,Total_Score,Total_Allowed_P1,Total_Allowed_P2,Over_74,pythagorean_P1,pythagorean_P2,D_Sets,D_Total,D_Total_Allowed
180,2022-07-06 06:00:00,Hampejs V.,Prokupek J.,1.0,2.4285714285714284,30.857142857142858,44.142857142857146,47.0,36.714285714285715,44.285714285714285,False,0.4838092809039848,0.5177962822583435,-1.429,-13.286,-7.571
181,2022-07-06 06:00:00,Sklenar M.,Klimenta M.,2.142857142857143,1.75476306790425,44.142857142857146,39.862237420615536,79.0,44.42857142857143,42.13629702002931,True,0.5105973423662832,0.4714965108763514,0.388,4.281,2.292
183,2022-07-06 06:30:00,Rose R.,Pusch F.,3.0,2.795275590551181,52.0,42.811023622047244,57.0,46.714285714285715,42.346456692913385,False,0.5533111336521858,0.49383860259965673,0.205,9.189,4.368
182,2022-07-06 06:30:00,Pikous M.,Pavelka R.,2.8666666666666667,2.857142857142857,49.86666666666667,46.42857142857143,102.0,50.46666666666667,42.285714285714285,True,0.5126014338380225,0.5243401112346426,0.01,3.438,8.181
189,2022-07-06 09:30:00,Cvecek M.,Sejk P.,2.142857142857143,0.7142857142857143,37.857142857142854,27.428571428571427,54.0,41.42857142857143,38.42857142857143,False,0.5,0.3343644106205297,1.429,10.429,3.0
193,2022-07-06 10:00:00,Cernik J.,Cvecek M.,3.0,1.5333333333333334,37.6,33.13333333333333,77.0,28.466666666666665,39.6,True,0.6277015052054102,0.4715268118696518,1.467,4.467,-11.133
194,2022-07-06 10:00:00,Moravek J.,Stolfa J.,1.3333333333333333,2.8666666666666667,31.466666666666665,37.733333333333334,50.0,37.0,29.266666666666666,False,0.40008501508081734,0.5928989325687892,-1.533,-6.267,7.733
196,2022-07-06 10:30:00,Grill J.,Smrcek M.,2.2,1.8666666666666667,40.0,47.666666666666664,75.0,47.4,44.0,True,0.4450983561445905,0.5075615790941923,0.333,-7.667,3.4
205,2022-07-06 11:30:00,Cernik J.,Sejk P.,3.0,1.7096774193548387,40.38709677419355,27.870967741935484,67.0,28.741935483870968,28.032258064516128,False,0.6376054018749712,0.381216647287059,1.29,12.516,0.71
208,2022-07-06 12:00:00,Cvecek M.,Svoboda V.,0.873015873015873,2.0,29.476190476190474,34.42857142857143,70.0,40.666666666666664,37.57142857142857,False,0.4263067993899843,0.3814502044345177,-1.127,-4.952,3.095
214,2022-07-06 12:30:00,Sejk P.,Cernik J.,1.3492063492063493,3.0,32.0,42.73015873015873,77.0,35.12698412698413,30.396825396825395,True,0.39105445501546926,0.6401525787171357,-1.651,-10.73,4.73
253,2022-07-06 17:30:00,Kolenic T.,Placek M.,0.7142857142857143,3.0,30.571428571428573,42.93333333333333,72.0,36.285714285714285,35.733333333333334,False,0.48790914244972455,0.6041305217505086,-2.286,-12.362,0.552
254,2022-07-06 17:30:00,Kucirek O.,Linder L.,1.996078431372549,2.8,34.333333333333336,46.4,70.0,39.87843137254902,43.13333333333333,False,0.5593409193400577,0.507956050711308,-0.804,-12.067,-3.255
261,2022-07-06 18:30:00,Linder L.,Regner M.,2.903225806451613,2.2666666666666666,40.516129032258064,40.93333333333333,66.0,32.225806451612904,41.93333333333333,False,0.5363727937127594,0.46869313365660403,0.637,-0.417,-9.708
262,2022-07-06 18:30:00,Placek M.,Hruska V. sr,1.967741935483871,2.7419354838709675,32.12903225806452,41.0,72.0,35.354838709677416,32.354838709677416,False,0.5530572331516977,0.5345331865424415,-0.774,-8.871,3.0
267,2022-07-06 19:00:00,Regner M.,Kucirek O.,2.6451612903225805,2.4995112414467253,37.87096774193548,41.089931573802545,73.0,33.70967741935484,37.717497556207235,False,0.49740794829820306,0.5519805480095762,0.146,-3.219,-4.008
264,2022-07-06 19:00:00,Hruska V. sr,Kolenic T.,2.365079365079365,2.4838709677419355,45.06349206349206,38.12903225806452,80.0,41.317460317460316,33.74193548387097,True,0.5258105120966102,0.5268219294094227,-0.119,6.934,7.576
273,2022-07-06 20:05:00,Hruska V. sr,Havel L.,1.6771653543307086,2.4285714285714284,37.47244094488189,47.142857142857146,48.0,41.661417322834644,48.857142857142854,False,0.503221799710336,0.5160487639842634,-0.751,-9.67,-7.196
276,2022-07-06 20:30:00,Kolenic T.,Placek M.,2.746031746031746,2.2440944881889764,44.666666666666664,37.07086614173228,58.0,39.46031746031746,33.826771653543304,False,0.5329918242103133,0.5449149327326377,0.502,7.596,5.634
277,2022-07-06 20:30:00,Kucirek O.,Linder L.,2.749877870053737,2.47244094488189,37.04298974108451,35.59055118110236,53.0,26.353199804592087,33.06299212598425,False,0.5691953730963076,0.5170028354869739,0.277,1.452,-6.71
280,2022-07-06 21:00:00,Hisler P.,Mazanek S.,1.192156862745098,0.8571428571428571,36.63137254901961,21.714285714285715,100.0,40.1921568627451,31.0,True,0.435769927907281,0.3836299917561341,0.335,14.917,9.192
285,2022-07-06 21:30:00,Pikous M.,Pavelka R.,2.935483870967742,2.4,42.193548387096776,52.6,60.0,36.806451612903224,49.6,False,0.5346529376593268,0.5218337585026792,0.535,-10.406,-12.794
287,2022-07-06 21:30:00,Svoboda V.,Sejk P.,0.9333333333333333,2.1811023622047245,28.333333333333332,36.53543307086614,84.0,35.666666666666664,30.52755905511811,True,0.3693902597708666,0.43706123424350646,-1.248,-8.202,5.139
288,2022-07-06 22:00:00,Mazanek S.,Plachy J.,0.4,2.6774193548387095,21.866666666666667,40.54838709677419,71.0,32.6,35.70967741935484,False,0.36453398730683084,0.5141364299083454,-2.277,-18.682,-3.11
291,2022-07-06 22:00:00,Urban M.,Pikous M.,2.8666666666666667,2.9682539682539684,39.666666666666664,48.19047619047619,57.0,31.466666666666665,42.492063492063494,False,0.5856006528878424,0.5383630797051845,-0.102,-8.524,-11.025
296,2022-07-06 23:00:00,Hisler P.,Plachy J.,2.549364613880743,1.8253968253968254,44.41544477028348,40.26984126984127,70.0,42.800586510263926,39.41269841269841,False,0.45955425845531506,0.5068280604724509,0.724,4.146,3.388
303,2022-07-06 23:30:00,Urban M.,Pavelka R.,1.3870967741935485,1.0793650793650793,28.483870967741936,37.41269841269841,105.0,32.25806451612903,43.301587301587304,True,0.5307525684361148,0.48811845217136235,0.308,-8.929,-11.044
305,2022-07-07 00:00:00,Pesek K.,Sejk P.,1.8571428571428572,2.147605083088954,37.57142857142857,43.448680351906155,74.0,38.142857142857146,40.57575757575758,False,0.5312154039014386,0.45563909304185823,-0.29,-5.877,-2.433
306,2022-07-07 00:00:00,Plachy J.,Mazanek S.,2.4173228346456694,1.1111111111111112,40.63779527559055,32.888888888888886,88.0,34.669291338582674,41.53968253968254,True,0.5226003963618412,0.39324051082124106,1.306,7.749,-6.87
307,2022-07-07 00:15:00,Pikous M.,Pavelka R.,1.4862745098039216,0.5354330708661418,31.733333333333334,27.125984251968504,72.0,34.34117647058824,38.110236220472444,False,0.5271030395843381,0.46431255916239694,0.951,4.607,-3.769
308,2022-07-07 00:30:00,Hruska V. sr,Hisler P.,2.3411764705882354,2.2745481191988275,40.247058823529414,45.208109428431854,84.0,39.32156862745098,47.402540302882265,True,0.5112949483879593,0.45780720705979494,0.067,-4.961,-8.081
310,2022-07-07 00:30:00,Svoboda V.,Kolacek I.,2.377952755905512,1.7142857142857142,39.37795275590551,41.857142857142854,81.0,40.496062992125985,44.57142857142857,True,0.42066540534696356,0.47905440246503567,0.664,-2.479,-4.075
313,2022-07-07 01:15:00,Batthyany T.,Brozik K.,2.2125984251968505,0.9133858267716536,36.68503937007874,34.425196850393704,70.0,33.44881889763779,40.94488188976378,False,0.5140127431325813,0.35260714328539755,1.299,2.26,-7.496
317,2022-07-07 02:10:00,Brozik K.,Hofman D.,0.9568627450980393,1.2857142857142858,32.705882352941174,41.0,96.0,39.46666666666667,47.0,True,0.3596648459388887,0.41067691250505706,-0.329,-8.294,-7.533
319,2022-07-07 02:35:00,Korp Jr. P.,Pycha P.,1.8,0.4838709677419355,38.93333333333333,29.838709677419356,70.0,41.733333333333334,36.70967741935484,False,0.48583857030229877,0.4450983561445905,1.316,9.095,5.024
330,2022-07-07 05:30:00,Hofman D.,Batthyany T.,1.6666666666666667,2.5268817204301075,42.3968253968254,44.96871945259042,76.0,49.53968253968254,38.06060606060606,True,0.4017325136511287,0.5228302700892244,-0.86,-2.572,11.479
333,2022-07-07 06:00:00,Pozarsky J.,Sobisek M.,2.857142857142857,1.7142857142857142,42.42857142857143,36.142857142857146,57.0,44.42857142857143,37.142857142857146,False,0.45909406926216595,0.5197979322743643,1.143,6.286,7.286
332,2022-07-07 06:00:00,Brozik K.,Brozek M.,0.9946262823644357,2.2857142857142856,28.211040547142158,44.857142857142854,69.0,38.05764533463605,49.857142857142854,False,0.3696741359823744,0.4366974064723582,-1.291,-16.646,-11.799
334,2022-07-07 06:30:00,Batthyany T.,Ruzicka J.,2.7635564240351735,2.7142857142857144,46.98534440644846,39.857142857142854,52.0,40.03126526624328,30.285714285714285,False,0.5284240860789076,0.5966404252647524,0.049,7.128,9.746
335,2022-07-07 06:30:00,Korp Jr. P.,Holik T.,2.354330708661417,2.142857142857143,45.039370078740156,37.142857142857146,93.0,40.83464566929134,43.857142857142854,True,0.5254897190750207,0.4095981081266353,0.211,7.897,-3.022
340,2022-07-07 09:30:00,Havel L.,Stolfa J.,1.1333333333333333,2.984251968503937,31.6,39.10236220472441,81.0,40.4,25.881889763779526,True,0.47278673106384567,0.6412839574149485,-1.851,-7.502,14.518
343,2022-07-07 09:30:00,Strnad J.,Kasan J.,1.7215686274509805,2.5714285714285716,42.23137254901961,47.0,56.0,42.76470588235294,50.857142857142854,False,0.5377594314455915,0.47132869672191374,-0.85,-4.769,-8.092
347,2022-07-07 10:00:00,Potensky J.,Havel L.,1.2,2.096774193548387,34.93333333333333,32.32258064516129,68.0,42.93333333333333,27.29032258064516,False,0.38805869507655,0.5190560240829974,-0.897,2.611,15.643
359,2022-07-07 11:30:00,Potensky J.,Stolfa J.,1.096774193548387,2.996086105675147,32.38709677419355,42.031311154598825,91.0,39.87096774193548,31.731898238747554,True,0.39105445501546926,0.6316556494085468,-1.899,-9.644,8.139
360,2022-07-07 12:00:00,Havel L.,Potensky J.,2.2755905511811023,1.0476190476190477,37.37007874015748,29.650793650793652,52.0,31.858267716535433,40.44444444444444,False,0.51887738188835,0.3796761340766112,1.228,7.719,-8.586
368,2022-07-07 13:00:00,Korp Jr. P.,Holik T.,2.6784313725490194,2.6,45.52156862745098,37.6,59.0,39.411764705882355,37.53333333333333,False,0.5333391310981548,0.4484510213269401,0.078,7.922,1.878
369,2022-07-07 13:00:00,Kulhanek P.,Hruska V. sr,1.5714285714285714,1.168297455968689,42.285714285714285,27.598825831702545,76.0,44.0,36.154598825831705,True,0.4628529430138836,0.48685557284246184,0.403,14.687,7.845
370,2022-07-07 13:00:00,Manhal Jr. J.,Vidourek J.,2.857142857142857,2.2857142857142856,42.57142857142857,40.285714285714285,73.0,38.857142857142854,41.285714285714285,False,0.5226750366474463,0.4848792675827783,0.571,2.286,-2.429
373,2022-07-07 13:30:00,Kliuchuk R.,Pikous M.,1.9333333333333333,0.7416829745596869,38.266666666666666,25.354207436399218,91.0,44.6,33.669275929549904,True,0.4236785451510868,0.5066014625362678,1.192,12.912,10.931
374,2022-07-07 13:30:00,Lovl J.,Koutnik J.,2.4285714285714284,1.4285714285714286,36.42857142857143,29.142857142857142,97.0,31.571428571428573,31.285714285714285,True,0.5601755002483881,0.46735403331539543,1.0,7.286,0.286
375,2022-07-07 13:30:00,Sudek P.,Madle L.,1.0,2.8,26.714285714285715,36.06666666666667,75.0,36.714285714285715,27.266666666666666,True,0.43075203606865325,0.5279185500342642,-1.8,-9.352,9.448
376,2022-07-07 14:00:00,Holik T.,Kliuchuk R.,2.806451612903226,2.4838709677419355,41.935483870967744,37.61290322580645,62.0,42.41935483870968,36.54838709677419,False,0.45826617566927064,0.4562752747616804,0.323,4.323,5.871
377,2022-07-07 14:00:00,Hruska V. sr,Sudek P.,2.0850439882697946,1.0,34.806451612903224,31.133333333333333,43.0,39.080156402737046,39.53333333333333,False,0.4882707402506462,0.4265836291638671,1.085,3.673,-0.453
378,2022-07-07 14:00:00,Vidourek J.,Lovl J.,1.0666666666666667,1.6666666666666667,27.333333333333332,37.8,55.0,36.86666666666667,38.2,False,0.4342372815123782,0.5261261578484248,-0.6,-10.467,-1.333
383,2022-07-07 14:30:00,Pikous M.,Korp Jr. P.,0.8709677419354839,2.3385518590998045,26.67839687194526,46.262230919765166,67.0,38.8396871945259,42.71232876712329,False,0.4868452668238937,0.5304329811070901,-1.468,-19.584,-3.873
380,2022-07-07 14:30:00,Koutnik J.,Manhal Jr. J.,1.2,1.3333333333333333,32.8,29.466666666666665,72.0,34.333333333333336,35.733333333333334,False,0.4734407808319816,0.4719149464231948,-0.133,3.333,-1.4
381,2022-07-07 14:30:00,Madle L.,Kulhanek P.,1.8709677419354838,1.8,33.96774193548387,43.2,82.0,32.29032258064516,46.13333333333333,True,0.5082925180028024,0.4621514366508218,0.071,-9.232,-13.843
384,2022-07-07 15:00:00,Korp Jr. P.,Kliuchuk R.,2.6695992179863146,2.746031746031746,39.624633431085044,43.3968253968254,95.0,34.34799608993158,39.317460317460316,True,0.5361040258369228,0.478456896132117,-0.076,-3.772,-4.969
385,2022-07-07 15:00:00,Kulhanek P.,Sudek P.,1.3870967741935485,2.032258064516129,37.935483870967744,36.74193548387097,82.0,44.516129032258064,36.16129032258065,True,0.44709574732357815,0.46886728167703795,-0.645,1.194,8.355
386,2022-07-07 15:00:00,Manhal Jr. J.,Lovl J.,2.193548387096774,2.3548387096774195,35.41935483870968,45.12903225806452,65.0,33.806451612903224,41.70967741935484,False,0.5,0.5363607636363075,-0.161,-9.71,-7.903
388,2022-07-07 15:30:00,Holik T.,Pikous M.,1.380952380952381,1.4357596482657549,33.84126984126984,34.34294088910601,58.0,37.63492063492063,43.92232535417684,False,0.44962345819007804,0.48076600494121574,-0.055,-0.502,-6.287
389,2022-07-07 15:30:00,Hruska V. sr,Madle L.,2.542745481191988,1.4285714285714286,38.90522716170005,33.476190476190474,73.0,36.03859306301905,37.22222222222222,False,0.5,0.4864801444167425,1.114,5.429,-1.184
390,2022-07-07 15:30:00,Vidourek J.,Koutnik J.,1.032258064516129,1.6129032258064515,29.741935483870968,39.096774193548384,94.0,39.0,43.45161290322581,True,0.42498698097513776,0.4621514366508218,-0.581,-9.355,-4.452
393,2022-07-07 16:00:00,Korp Jr. P.,Pikous M.,1.8343917928676112,2.218070818070818,32.308744504152415,38.17240537240537,41.0,38.17586712261846,34.45885225885226,False,0.5156463591738412,0.49900866830003404,-0.384,-5.864,3.717
394,2022-07-07 16:00:00,Koutnik J.,Vidourek J.,2.3174603174603177,0.5079365079365079,39.55555555555556,25.80952380952381,50.0,37.63492063492063,35.95238095238095,False,0.4866120010015364,0.41113190831346086,1.81,13.746,1.683
395,2022-07-07 16:00:00,Kulhanek P.,Madle L.,2.2063492063492065,1.2125984251968505,40.0,36.76377952755905,95.0,42.22222222222222,39.62992125984252,True,0.4594777472087623,0.4850031556480019,0.994,3.236,2.592
398,2022-07-07 16:30:00,Sudek P.,Hruska V. sr,2.5238095238095237,1.271062271062271,34.84126984126984,24.449084249084247,66.0,22.873015873015873,34.51892551892552,False,0.529974769856506,0.4766026473736558,1.253,10.392,-11.646
396,2022-07-07 16:30:00,Holik T.,Kliuchuk R.,2.1968503937007875,1.3622047244094488,34.425196850393704,35.13385826771653,93.0,32.275590551181104,37.14173228346457,True,0.4698218642742327,0.4671692681124594,0.835,-0.709,-4.866
397,2022-07-07 16:30:00,Manhal Jr. J.,Lovl J.,1.5873015873015872,2.6825396825396823,33.682539682539684,38.96825396825397,50.0,36.95238095238095,31.6984126984127,False,0.4832920354350469,0.5549136789187734,-1.095,-5.286,5.254
402,2022-07-07 17:00:00,Prokupek J.,Tonar L.,1.1333333333333333,0.7142857142857143,32.86666666666667,23.285714285714285,49.0,38.266666666666666,33.857142857142854,False,0.4853863064238924,0.4283806892890622,0.419,9.581,4.41
403,2022-07-07 17:00:00,Rose R.,Kutifel J.,3.0,2.2440944881889764,50.4,36.01574803149607,69.0,47.4,36.58267716535433,False,0.5423770375274981,0.5349398952190031,0.756,14.384,10.817
409,2022-07-07 18:00:00,Kutifel J.,Brozik K.,2.623529411764706,2.498840190452936,37.01176470588236,36.80380905872299,60.0,33.780392156862746,31.763643022829935,False,0.5419624662602031,0.41072661872360844,0.125,0.208,2.017
414,2022-07-07 18:30:00,Regner M.,Prokupek J.,1.576470588235294,0.5483870967741935,35.85098039215686,23.129032258064516,49.0,45.63529411764706,35.54838709677419,False,0.44687047030456256,0.43921157555754775,1.028,12.722,10.087
416,2022-07-07 19:00:00,Malek M.,Svoboda P.,2.6129032258064515,2.161290322580645,50.12903225806452,39.645161290322584,108.0,44.70967741935484,33.935483870967744,True,0.5061961657760892,0.5296512545755926,0.452,10.484,10.774
419,2022-07-07 19:00:00,Rose R.,Brozik K.,2.238095238095238,2.249404870902765,37.65079365079365,42.902276750289936,59.0,35.15873015873016,43.38253067203809,False,0.5249077105750886,0.41455036957200353,-0.011,-5.251,-8.224
423,2022-07-07 19:30:00,Tonar L.,Regner M.,0.16129032258064516,0.786692759295499,18.419354838709676,31.416829745596868,101.0,33.193548387096776,40.80821917808219,True,0.3553686291198659,0.43939818639109485,-0.625,-12.997,-7.615
427,2022-07-07 20:10:00,Tonar L.,Regner M.,0.07936507936507936,0.39296187683284456,17.6984126984127,23.700879765395893,94.0,33.095238095238095,36.90029325513196,True,0.3348026837467398,0.421577157470209,-0.314,-6.002,-3.805
429,2022-07-07 20:30:00,Rose R.,Kutifel J.,2.622047244094488,2.4056695992179864,40.8503937007874,34.500488758553274,78.0,33.56692913385827,30.441837732160312,True,0.5402608122384971,0.5355048043969922,0.216,6.35,3.125
430,2022-07-07 20:30:00,Svoboda P.,Malek M.,2.5873015873015874,2.8095238095238093,36.26984126984127,47.523809523809526,79.0,29.396825396825395,37.74603174603175,True,0.5426840262494035,0.529945940933178,-0.222,-11.254,-8.349
432,2022-07-07 21:00:00,Bilek Z.,Mares E.,2.142857142857143,1.7142857142857142,33.857142857142854,33.0,67.0,25.571428571428573,37.57142857142857,False,0.6036383905771747,0.44298690207123254,0.429,0.857,-12.0
435,2022-07-07 21:00:00,Vicherek P.,Zaskodny M.,1.5714285714285714,0.7142857142857143,36.714285714285715,24.142857142857142,56.0,39.0,33.142857142857146,False,0.5306190387614401,0.46302428039317245,0.857,12.571,5.857
443,2022-07-07 22:05:00,Mares E.,Bradac P.,2.4,0.3333333333333333,33.0,23.0,94.0,29.266666666666666,33.8,True,0.490162180913756,0.38565878972182516,2.067,10.0,-4.533
447,2022-07-07 22:30:00,Graf J.,Vicherek P.,2.4,2.3333333333333335,45.53333333333333,39.0,100.0,39.733333333333334,37.93333333333333,True,0.5645008626254574,0.5350293938223251,0.067,6.533,1.8
452,2022-07-07 23:10:00,Bilek Z.,Bradac P.,2.806451612903226,1.1935483870967742,38.87096774193548,32.806451612903224,50.0,33.903225806451616,41.645161290322584,False,0.5650970402443103,0.3975444753882585,1.613,6.065,-7.742
456,2022-07-07 23:30:00,Zaskodny M.,Graf J.,2.4838709677419355,2.7096774193548385,33.32258064516129,39.064516129032256,71.0,27.096774193548388,32.12903225806452,False,0.5455095069508625,0.5736819979429816,-0.226,-5.742,-5.032
460,2022-07-08 00:00:00,Vidourek J.,Kaisler V.,0.9696969696969697,0.14285714285714285,30.993157380254154,25.857142857142858,53.0,35.49657869012708,34.714285714285715,False,0.4289556585604421,0.38027327658444193,0.827,5.136,0.782
461,2022-07-08 00:30:00,Graf J.,Zaskodny M.,2.857142857142857,2.746031746031746,44.111111111111114,33.666666666666664,92.0,41.714285714285715,25.015873015873016,True,0.5547832343687258,0.5661791478935129,0.111,10.444,16.698
464,2022-07-08 00:40:00,Bilek Z.,Mares E.,2.3968253968253967,2.3492063492063493,46.04761904761905,40.111111111111114,88.0,43.095238095238095,39.476190476190474,True,0.5525395502682588,0.4833679413336886,0.048,5.937,3.619
465,2022-07-08 01:00:00,Prokupek J.,Smrcek M.,2.7019607843137257,2.4881889763779528,33.8078431372549,45.56692913385827,96.0,25.40392156862745,43.874015748031496,True,0.5296042663750223,0.4984673400503966,0.214,-11.759,-18.47
466,2022-07-08 01:10:00,Kucirek O.,Tuma D.,2.874969474969475,2.4285714285714284,40.022222222222226,43.0,51.0,28.177045177045176,42.0,False,0.576864923391469,0.5155049870613546,0.446,-2.978,-13.823
469,2022-07-08 02:00:00,Smrcek M.,Svedik M.,2.7450980392156863,2.4285714285714284,44.780392156862746,34.285714285714285,76.0,44.43921568627451,31.857142857142858,True,0.4973323792693425,0.47459867982500725,0.317,10.495,12.582
474,2022-07-08 03:00:00,Svedik M.,Berger J.,1.1333333333333333,0.8666666666666667,28.8,24.4,41.0,33.53333333333333,31.533333333333335,False,0.44360513059111434,0.5118815478286376,0.267,4.4,2.0
477,2022-07-08 04:00:00,Berger J.,Prokupek J.,0.41935483870967744,2.4252199413489737,23.677419354838708,40.70869990224829,49.0,33.83870967741935,34.86021505376344,False,0.4684776245462635,0.543494199859065,-2.006,-17.031,-1.022
478,2022-07-08 04:00:00,Linder L.,Kucirek O.,1.5581622678396871,2.9687480925349448,36.82502443792767,34.75523408411158,50.0,44.143695014662754,21.0438259171092,False,0.4836230356746948,0.5944333453142661,-1.411,2.07,23.1
481,2022-07-08 05:00:00,Berger J.,Smrcek M.,0.20634920634920634,1.935483870967742,15.714285714285714,42.19257086999023,49.0,33.41269841269841,42.10752688172043,False,0.40408779060488126,0.4978671419409651,-1.729,-26.478,-8.695
482,2022-07-08 05:00:00,Linder L.,Tuma D.,1.2789447972642891,1.7936507936507937,30.909623839765512,36.65079365079365,43.0,42.07083536883244,41.111111111111114,False,0.4687005125081523,0.45172636730365,-0.515,-5.741,0.96
484,2022-07-08 05:30:00,Svedik M.,Prokupek J.,2.5555555555555554,2.7127503663898387,33.26984126984127,39.35368832437714,103.0,21.6984126984127,32.92916463116756,True,0.5186673818400698,0.5480536594457354,-0.157,-6.084,-11.231
485,2022-07-08 06:00:00,Kucirek O.,Linder L.,2.242175936522469,0.6393162393162393,30.93875028610666,23.953113553113553,56.0,22.260975051499198,37.53431013431013,False,0.589390534096563,0.4541872752577261,1.603,6.986,-15.273
486,2022-07-08 06:00:00,Smrcek M.,Svedik M.,1.9677576941866146,1.2677165354330708,42.59648265754763,29.10236220472441,52.0,45.55544699560332,27.393700787401574,False,0.49229516464206197,0.5,0.7,13.494,18.162
487,2022-07-08 06:30:00,Prokupek J.,Novak K.,2.8564102564102565,2.142857142857143,36.17606837606838,42.0,101.0,24.46251526251526,38.714285714285715,True,0.5646065239125617,0.5497930835493963,0.714,-5.824,-14.252
488,2022-07-08 06:30:00,Varcl J. jr.,Stepanek J.,3.0,2.2857142857142856,45.57142857142857,45.57142857142857,59.0,37.857142857142854,42.142857142857146,False,0.5926119852101311,0.5424861690011569,0.714,0.0,-4.286
492,2022-07-08 09:00:00,Sudek P.,Mazanek S.,2.763779527559055,1.0551181102362204,39.45669291338583,30.929133858267715,71.0,30.496062992125985,41.77165354330709,False,0.5367169809237602,0.38437972561323974,1.709,8.528,-11.276
493,2022-07-08 09:30:00,Havel L.,Stolfa J.,2.1372549019607843,2.498778700537372,41.70196078431373,43.5085490962384,86.0,40.462745098039214,38.93649242794333,True,0.5116545701319799,0.611513038920241,-0.362,-1.807,1.526
494,2022-07-08 09:30:00,Hisler P.,Hruska V. sr,2.6373626373626373,2.1356366743987305,41.6031746031746,33.72567452081553,94.0,39.6993894993895,32.2591869124649,True,0.4667971249249492,0.49058719981949755,0.502,7.878,7.44
496,2022-07-08 09:40:00,Kotil M.,Stanek V.,3.0,2.857142857142857,45.142857142857146,40.0,85.0,39.142857142857146,34.285714285714285,True,0.5520537167111067,0.5267811749118488,0.143,5.143,4.857
499,2022-07-08 10:00:00,Mazanek S.,Hisler P.,2.0313725490196077,1.8185813697961177,40.501960784313724,41.80161152484434,85.0,39.87843137254902,40.849835184959105,True,0.4221137550801966,0.4695265120847361,0.213,-1.3,-0.971
500,2022-07-08 10:00:00,Potensky J.,Havel L.,1.011764705882353,2.5694716242661446,28.15686274509804,37.342465753424655,53.0,38.101960784313725,29.710371819960862,False,0.38570731629073585,0.5295786991112889,-1.558,-9.186,8.392
504,2022-07-08 10:30:00,Hruska V. sr,Sudek P.,2.567844717084783,1.3764705882352941,35.86296771043155,33.705882352941174,78.0,30.12946346822926,34.26274509803922,True,0.5,0.5142385444932216,1.191,2.157,-4.133
507,2022-07-08 11:00:00,Ogrocki T.,Kantor L.,1.903225806451613,2.4838709677419355,37.096774193548384,36.354838709677416,99.0,38.064516129032256,29.903225806451612,True,0.547309870411384,0.5516628326285733,-0.581,0.742,8.161
508,2022-07-08 11:00:00,Sudek P.,Hisler P.,2.1898238747553815,2.4093267411341026,36.85909980430528,46.401086492095466,51.0,32.62818003913895,41.92498321430752,False,0.5265721735644723,0.47865362869120814,-0.22,-9.542,-9.297
